char,hskLevels,pinyin,hanViet,meaningShortVi,radicalStatus,radicalForm,radicalNameVi,strokeCount,formationTypeVi,formationStatus,componentCount,relatedWordCount,sentenceCount,pdfCandidatePages,qualityStatus,missing
雨,1,yǔ,Vũ,mưa,verified,雨,Bộ Vũ,8,,not-available,0,8,12,817,PASS,"hasComponents,hasFormationType"
雪,"1,2,3",xuě,,tuyết,verified,雨,Bộ Vũ,,hình thanh,source-backed,2,8,9,,PASS,"hasHanViet,hasStrokeCount,hasPdfCandidate"
零,"1,2,3",líng,Lênh,không,verified,雨,Bộ Vũ,,hình thanh,source-backed,2,6,9,,PASS,"hasStrokeCount,hasPdfCandidate"
页,"1,3",yè,,trang,verified,首,Bộ Thủ,,,not-available,2,6,4,,PASS,"hasHanViet,hasStrokeCount,hasFormationType,hasPdfCandidate"
题,"1,2,3",tí,,đề bài,verified,頁,Bộ Hiệt,15,hình thanh,source-backed,2,10,12,,PASS,"hasHanViet,hasPdfCandidate"
风,"1,3",fēng,Phong,gió,not-found,凡,,4,hình thanh,source-backed,2,8,12,,PARTIAL,"hasRadical,hasPdfCandidate"
飞,"1,2",fēi,Phi,bay,not-found,,,3,,not-available,0,6,12,,PARTIAL,"hasRadical,hasComponents,hasFormationType,hasPdfCandidate"
饭,1,fàn,,bữa ăn,verified,饣,Bộ Thực,7,hình thanh,source-backed,2,10,12,,PASS,"hasHanViet,hasPdfCandidate"
饿,"1,3",è,,đói,verified,饣,Bộ Thực,,hình thanh,source-backed,2,6,6,,PASS,"hasHanViet,hasStrokeCount,hasPdfCandidate"
首,1,shǒu,Thủ,đoạn,verified,首,Bộ Thủ,9,,not-available,2,6,12,687,PASS,hasFormationType
骑,"1,2,3",qí,Kị,cưỡi,verified,马,Bộ Mã,18,hình thanh,source-backed,2,6,3,,PASS,hasPdfCandidate
高,"1,2,3",gāo,Cao,cao,verified,高,Bộ Cao,,,not-available,0,14,12,71,PASS,"hasStrokeCount,hasComponents,hasFormationType"
鱼,"1,2,3",yú,Ngư,cá,verified,鱼,Bộ Ngư,8,,not-available,0,6,3,,PASS,"hasComponents,hasFormationType,hasPdfCandidate"
鸟,"1,2,3",niǎo,Điểu,chim,verified,鸟,Bộ Điểu,5,,not-available,0,6,5,,PASS,"hasComponents,hasFormationType,hasPdfCandidate"
黄,"1,2,3",huáng,Hoàng,vàng,not-found,,,11,,not-available,0,7,5,279,PARTIAL,"hasRadical,hasComponents,hasFormationType"
黑,"1,2,3",hēi,Hắc,đen,verified,黑,Bộ Hắc,12,,not-available,0,8,5,256,PASS,"hasComponents,hasFormationType"
万,"2,3",wàn,Vạn,Mười ngàn,not-found,,,,,not-available,0,7,9,,PARTIAL,"hasRadical,hasStrokeCount,hasComponents,hasFormationType,hasPdfCandidate"
丝,2,sī,Tơ,sợi,verified,纟,Bộ Mịch,5,hội ý,needs-review,2,6,1,,PASS,hasPdfCandidate
临,2,lín,,sắp,verified,丨,"Bộ Thụ, Cổn",9,hình thanh,source-backed,2,6,8,,PASS,"hasHanViet,hasPdfCandidate"
为,"2,3",wèi,,cho,verified,又,Bộ Hựu,,,not-available,2,11,12,,PASS,"hasHanViet,hasStrokeCount,hasFormationType,hasPdfCandidate"
举,2,jǔ,cử,"trích dẫn, liệt kê",verified,手,Bộ Thủ,,,not-available,2,6,12,,PASS,"hasStrokeCount,hasFormationType,hasPdfCandidate"
乱,"2,3",luàn,Loạn,bừa bãi,verified,舌,Bộ Thiệt,7,,not-available,2,7,5,356,PASS,hasFormationType
云,2,yún,Vân,mây,not-found,,,,,not-available,0,6,3,802,PARTIAL,"hasRadical,hasStrokeCount,hasComponents,hasFormationType"
交,2,jiāo,Giao,giao,not-found,,,,,not-available,0,16,12,241,PARTIAL,"hasRadical,hasStrokeCount,hasComponents,hasFormationType"
亮,2,liàng,,sáng,verified,人,Bộ Nhân,,hình thanh,source-backed,2,8,12,,PASS,"hasHanViet,hasStrokeCount,hasPdfCandidate"
亿,2,yì,Ức,một trăm triệu,verified,亻,Bộ Nhân,,hình thanh,source-backed,2,5,1,,PASS,"hasStrokeCount,hasPdfCandidate"
份,2,fèn,Phần,phần,verified,亻,Bộ Nhân,,hình thanh,source-backed,2,6,12,,PASS,"hasStrokeCount,hasPdfCandidate"
但,2,dàn,,nhưng,verified,亻,Bộ Nhân,7,hình thanh,source-backed,2,6,12,,PASS,"hasHanViet,hasPdfCandidate"
位,"2,3",wèi,Vị,vị,verified,亻,Bộ Nhân,,hội ý,needs-review,2,7,12,808,PASS,hasStrokeCount
低,"2,3",dī,Đây,thấp,verified,亻,Bộ Nhân,,hình thanh,source-backed,2,6,2,,PASS,"hasStrokeCount,hasPdfCandidate"
信,"2,3",xìn,Tín,thư,verified,亻,Bộ Nhân,,hội ý,needs-review,2,12,12,727,PASS,hasStrokeCount
假,2,jiǎ,,giả,verified,亻,Bộ Nhân,,hình thanh,source-backed,2,12,12,,PASS,"hasHanViet,hasStrokeCount,hasPdfCandidate"
停,2,tíng,Đình,dừng,verified,亻,Bộ Nhân,,hình thanh,source-backed,2,6,12,,PASS,"hasStrokeCount,hasPdfCandidate"
傻,2,shǎ,,ngu ngốc,verified,亻,Bộ Nhân,13,hội ý,needs-review,4,7,6,,PASS,"hasHanViet,hasPdfCandidate"
像,"2,3",xiàng,Tượng,giống như,verified,亻,Bộ Nhân,,hình thanh,source-backed,2,7,12,,PASS,"hasStrokeCount,hasPdfCandidate"
克,2,kè,Khắc,gam,not-found,◎,,,,not-available,2,8,4,,PARTIAL,"hasRadical,hasStrokeCount,hasFormationType,hasPdfCandidate"
入,2,rù,Nhập,đi vào,verified,入,Bộ Nhập,2,,not-available,0,8,10,463,PASS,"hasComponents,hasFormationType"
全,"2,3",quán,Toàn,toàn bộ,verified,入,Bộ Nhập,6,,not-available,2,14,12,,PASS,"hasFormationType,hasPdfCandidate"
养,"2,3",yǎng,Dưỡng,nuôi dưỡng,verified,羊,Bộ Dương,9,hình thanh,source-backed,2,9,12,,PASS,hasPdfCandidate
凉,2,liáng,Lương,mát,verified,冫,Bộ Băng,10,hình thanh,source-backed,2,7,5,,PASS,hasPdfCandidate
切,2,qiē,Thiết,cắt,verified,刀,Bộ Đao,4,hình thanh,source-backed,2,6,12,,PASS,hasPdfCandidate
列,2,liè,Liệt,hàng,verified,刂,Bộ Đao,6,hình thanh,source-backed,2,6,6,,PASS,hasPdfCandidate
剥,2,bāo,Bóc,bóc,verified,刂,Bộ Đao,10,hình thanh,source-backed,2,6,0,,PARTIAL,"hasSentences,hasPdfCandidate"
副,2,fù,Phó,phó,verified,刂,Bộ Đao,11,hình thanh,source-backed,2,6,6,,PASS,hasPdfCandidate
办,"2,3",bàn,Biện,"làm, quản lý",verified,力,Bộ Lực,4,hình thanh,source-backed,2,6,12,,PASS,hasPdfCandidate
加,"2,3",jiā,Gia,cộng,verified,力,Bộ Lực,5,hội ý,needs-review,2,9,12,,PASS,hasPdfCandidate
匾,2,biǎn,,"biển hiệu, hoành phi",not-found,,,,,not-available,0,3,2,,PARTIAL,"hasHanViet,hasRadical,hasStrokeCount,hasComponents,hasFormationType,hasPdfCandidate"
占,2,zhàn,Chiêm,chiếm,verified,卜,Bộ Bốc,5,hội ý,needs-review,2,6,1,,PASS,hasPdfCandidate
卡,"2,3",kǎ,,thẻ,verified,卜,Bộ Bốc,5,hội ý,needs-review,2,9,7,,PASS,"hasHanViet,hasPdfCandidate"
卧,2,wò,,nằm,verified,臣,Bộ Thần,8,,not-available,2,7,4,436,PASS,"hasHanViet,hasFormationType"
厚,2,hòu,,dày,verified,厂,Bộ,9,,not-available,2,6,1,,PASS,"hasHanViet,hasFormationType,hasPdfCandidate"
发,"2,3",fā,Phát,gửi,not-found,,,,,not-available,0,20,12,,PARTIAL,"hasRadical,hasStrokeCount,hasComponents,hasFormationType,hasPdfCandidate"
取,2,qǔ,Thủ,lấy,verified,耳,Bộ Nhĩ,,,not-available,2,6,11,683,PASS,"hasStrokeCount,hasFormationType"
变,"2,3",biàn,Biến,trở thành,verified,夂,Bộ Tuy,8,hình thanh,source-backed,2,8,12,,PASS,hasPdfCandidate
句,"2,3",jù,Câu,câu,verified,口,Bộ Khẩu,5,hình thanh,source-backed,2,6,2,143,PASS,
各,"2,3",gè,Các,mỗi,verified,夂,Bộ Tuy,6,,not-available,2,6,12,,PASS,"hasFormationType,hasPdfCandidate"
名,2,míng,Danh,một lượng từ cho nghề nghiệp,verified,夕,Bộ Tịch,6,hội ý,needs-review,2,12,12,159,PASS,
向,"2,3",xiàng,Hướng,hướng về,verified,宀,Bộ Miên,,,not-available,0,6,12,,PASS,"hasStrokeCount,hasComponents,hasFormationType,hasPdfCandidate"
吓,2,xià,Hách,dọa,verified,口,Bộ Khẩu,6,hình thanh,source-backed,2,6,6,,PASS,hasPdfCandidate
吵,"2,3",chǎo,Sảo,ồn ào,verified,口,Bộ Khẩu,6,hình thanh,source-backed,2,6,4,,PASS,hasPdfCandidate
吹,2,chuī,Xuy,thổi,verified,口,Bộ Khẩu,,hình thanh,source-backed,2,7,5,833,PASS,hasStrokeCount
呆,2,dāi,Ngốc,ở lại,verified,口,Bộ Khẩu,7,hội ý,needs-review,2,6,7,,PASS,hasPdfCandidate
周,2,zhōu,Chu,tuần,verified,口,Bộ Khẩu,8,,not-available,0,10,12,,PASS,"hasComponents,hasFormationType,hasPdfCandidate"
味,2,wèi,Vị,"Vị, mùi vị",verified,口,Bộ Khẩu,,hình thanh,source-backed,2,9,12,809,PASS,hasStrokeCount
咬,2,yǎo,Rao,cắn,verified,口,Bộ Khẩu,9,hình thanh,source-backed,2,6,5,,PASS,hasPdfCandidate
咱,2,zán,,"tôi, chúng tôi",verified,口,Bộ Khẩu,9,hình thanh,source-backed,2,4,0,,PARTIAL,"hasHanViet,hasSentences,hasPdfCandidate"
响,2,xiǎng,Hưởng,"phát ra âm thanh, kêu",verified,口,Bộ Khẩu,,hình thanh,source-backed,2,7,12,,PASS,"hasStrokeCount,hasPdfCandidate"
哭,"2,3",kū,Khóc,khóc,not-found,吅,,,hội ý,needs-review,2,6,4,,PARTIAL,"hasRadical,hasStrokeCount,hasPdfCandidate"
喊,2,hǎn,,hét lên,verified,口,Bộ Khẩu,,hình thanh,source-backed,2,6,0,,PARTIAL,"hasHanViet,hasStrokeCount,hasSentences,hasPdfCandidate"
嘴,"2,3",zuǐ,,miệng,verified,口,Bộ Khẩu,,hình thanh,source-backed,2,6,1,,PASS,"hasHanViet,hasStrokeCount,hasPdfCandidate"
围,"2,3",wéi,Vè,bao quanh,verified,囗,Bộ Vi,7,hình thanh,source-backed,2,6,4,,PASS,hasPdfCandidate
圆,"2,3",yuán,Viên,tròn,verified,囗,Bộ Vi,13,hình thanh,source-backed,2,6,6,,PASS,hasPdfCandidate
坡,2,pō,Pha,dốc,verified,土,Bộ Thổ,8,hình thanh,source-backed,2,6,5,,PASS,hasPdfCandidate
城,"2,3",chéng,Thành,thành phố,verified,土,Bộ Thổ,9,hình thanh,source-backed,2,7,12,625,PASS,
塌,2,tā,,sụp đổ,verified,土,Bộ Thổ,13,,not-available,1,6,0,,PARTIAL,"hasHanViet,hasFormationType,hasSentences,hasPdfCandidate"
塞,2,sāi,Tắc,nhét,verified,宀,Bộ Miên,13,,not-available,5,6,0,,PARTIAL,"hasFormationType,hasSentences,hasPdfCandidate"
墙,2,qiáng,Tường,tường,verified,土,Bộ Thổ,,hình thanh,source-backed,2,6,3,,PASS,"hasStrokeCount,hasPdfCandidate"
夜,2,yè,Dạ,"đêm, tối",verified,夕,Bộ Tịch,,hình thanh,source-backed,2,8,12,157,PASS,hasStrokeCount
奖,2,jiǎng,,thưởng,verified,大,Bộ Đại,13,hình thanh,source-backed,2,6,1,,PASS,"hasHanViet,hasPdfCandidate"
套,"2,3",tào,,bộ,verified,大,Bộ Đại,,hội ý,needs-review,2,6,1,,PASS,"hasHanViet,hasStrokeCount,hasPdfCandidate"
姜,2,jiāng,gừng,gừng,verified,女,Bộ Nữ,9,hình thanh,source-backed,2,6,0,,PARTIAL,"hasSentences,hasPdfCandidate"
娶,2,qǔ,Thú,cưới,verified,女,Bộ Nữ,12,,not-available,0,6,4,685,PASS,"hasComponents,hasFormationType"
嫌,2,xián,Hiềm,ghét,verified,女,Bộ Nữ,13,hình thanh,source-backed,2,6,1,,PASS,hasPdfCandidate
寻,2,xún,Tầm,tìm kiếm,verified,寸,Bộ Thốn,6,,not-available,0,6,1,,PASS,"hasComponents,hasFormationType,hasPdfCandidate"
封,"2,3",fēng,Phong,phong thư,verified,寸,Bộ Thốn,9,hình thanh,source-backed,2,6,4,,PASS,hasPdfCandidate
将,2,jiāng,Tướng,sẽ,verified,寸,Bộ Thốn,10,hình thanh,source-backed,3,7,12,,PASS,hasPdfCandidate
尝,"2,3",cháng,,thử,verified,小,Bộ Tiểu,9,hình thanh,source-backed,2,6,1,,PASS,"hasHanViet,hasPdfCandidate"
层,"2,3",céng,Tầng,tầng,verified,尸,Bộ Thi,,,not-available,2,6,2,,PASS,"hasStrokeCount,hasFormationType,hasPdfCandidate"
市,2,shì,Thị,thành phố,verified,巾,Bộ Cân,5,hình thanh,source-backed,2,6,12,,PASS,hasPdfCandidate
幅,2,fú,Bức,bức,verified,巾,Bộ Cân,12,,not-available,0,6,8,,PASS,"hasComponents,hasFormationType,hasPdfCandidate"
平,2,píng,Bình,phẳng,not-found,,,,,not-available,0,12,12,49,PARTIAL,"hasRadical,hasStrokeCount,hasComponents,hasFormationType"
庙,"2,3",miào,Miếu,chùa,verified,广,Bộ Nghiễm,8,,not-available,0,6,3,,PASS,"hasComponents,hasFormationType,hasPdfCandidate"
座,2,zuò,Toà,tòa,verified,广,Bộ Nghiễm,,hình thanh,source-backed,2,8,12,,PASS,"hasStrokeCount,hasPdfCandidate"
弄,2,nòng,Lộng,chơi,verified,玉,Bộ Ngọc,,hội ý,needs-review,2,6,0,,PARTIAL,"hasStrokeCount,hasSentences,hasPdfCandidate"
